edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
168,0.34615384615384615,0.9473684210526315,0.47023809523809523,0.32916666666666666,0.36,0.9473684210526315,0.5357142857142857,0.375
169,0.34615384615384615,0.9473684210526315,0.46745562130177515,0.32916666666666666,0.36,0.9473684210526315,0.5325443786982249,0.375
170,0.34615384615384615,0.9473684210526315,0.4647058823529412,0.32916666666666666,0.36,0.9473684210526315,0.5294117647058824,0.375
171,0.33962264150943394,0.9473684210526315,0.4619883040935672,0.32916666666666666,0.36,0.9473684210526315,0.5263157894736842,0.375
172,0.3333333333333333,0.9473684210526315,0.45930232558139533,0.32916666666666666,0.36,0.9473684210526315,0.5290697674418605,0.37916666666666665
173,0.3333333333333333,0.9473684210526315,0.45664739884393063,0.32916666666666666,0.36,0.9473684210526315,0.5260115606936416,0.37916666666666665
174,0.3333333333333333,0.9473684210526315,0.4540229885057471,0.32916666666666666,0.35294117647058826,0.9473684210526315,0.5229885057471264,0.37916666666666665
175,0.3333333333333333,0.9473684210526315,0.4514285714285714,0.32916666666666666,0.35294117647058826,0.9473684210526315,0.52,0.37916666666666665
176,0.3333333333333333,0.9473684210526315,0.44886363636363635,0.32916666666666666,0.35294117647058826,0.9473684210526315,0.5170454545454546,0.37916666666666665
177,0.3333333333333333,0.9473684210526315,0.4463276836158192,0.32916666666666666,0.34615384615384615,0.9473684210526315,0.5141242937853108,0.37916666666666665
178,0.3333333333333333,0.9473684210526315,0.4438202247191011,0.32916666666666666,0.34615384615384615,0.9473684210526315,0.5112359550561798,0.37916666666666665
179,0.32727272727272727,0.9473684210526315,0.441340782122905,0.32916666666666666,0.34615384615384615,0.9473684210526315,0.5083798882681564,0.37916666666666665
180,0.32142857142857145,0.9473684210526315,0.4388888888888889,0.32916666666666666,0.34615384615384615,0.9473684210526315,0.5055555555555555,0.37916666666666665
181,0.32142857142857145,0.9473684210526315,0.43646408839779005,0.32916666666666666,0.34615384615384615,0.9473684210526315,0.5027624309392266,0.37916666666666665
182,0.3157894736842105,0.9473684210526315,0.4340659340659341,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.5,0.37916666666666665
183,0.3157894736842105,0.9473684210526315,0.43169398907103823,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.4972677595628415,0.37916666666666665
184,0.3157894736842105,0.9473684210526315,0.42934782608695654,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.4945652173913043,0.37916666666666665
185,0.3157894736842105,0.9473684210526315,0.42702702702702705,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.4918918918918919,0.37916666666666665
186,0.3157894736842105,0.9473684210526315,0.42473118279569894,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.489247311827957,0.37916666666666665
187,0.3157894736842105,0.9473684210526315,0.42245989304812837,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.48663101604278075,0.37916666666666665
188,0.3157894736842105,0.9473684210526315,0.42021276595744683,0.32916666666666666,0.33962264150943394,0.9473684210526315,0.48936170212765956,0.38333333333333336
189,0.3157894736842105,0.9473684210526315,0.41798941798941797,0.32916666666666666,0.3333333333333333,0.9473684210526315,0.48677248677248675,0.38333333333333336
190,0.3157894736842105,0.9473684210526315,0.41578947368421054,0.32916666666666666,0.3333333333333333,0.9473684210526315,0.4842105263157895,0.38333333333333336
191,0.3157894736842105,0.9473684210526315,0.41361256544502617,0.32916666666666666,0.32727272727272727,0.9473684210526315,0.4816753926701571,0.38333333333333336
192,0.3157894736842105,0.9473684210526315,0.4166666666666667,0.3333333333333333,0.32727272727272727,0.9473684210526315,0.4791666666666667,0.38333333333333336
193,0.3103448275862069,0.9473684210526315,0.41450777202072536,0.3333333333333333,0.32727272727272727,0.9473684210526315,0.47668393782383417,0.38333333333333336
194,0.3103448275862069,0.9473684210526315,0.41237113402061853,0.3333333333333333,0.32727272727272727,0.9473684210526315,0.4742268041237113,0.38333333333333336
195,0.3103448275862069,0.9473684210526315,0.41025641025641024,0.3333333333333333,0.32727272727272727,0.9473684210526315,0.4717948717948718,0.38333333333333336
196,0.3103448275862069,0.9473684210526315,0.413265306122449,0.3375,0.32727272727272727,0.9473684210526315,0.46938775510204084,0.38333333333333336
197,0.3103448275862069,0.9473684210526315,0.41624365482233505,0.3416666666666667,0.32142857142857145,0.9473684210526315,0.467005076142132,0.38333333333333336
198,0.3050847457627119,0.9473684210526315,0.41414141414141414,0.3416666666666667,0.32142857142857145,0.9473684210526315,0.46464646464646464,0.38333333333333336
199,0.3050847457627119,0.9473684210526315,0.4120603015075377,0.3416666666666667,0.3157894736842105,0.9473684210526315,0.4623115577889447,0.38333333333333336
